,Event,Record,Country,Continent,URL,id,latitude,longitude,genero,Alpha-2 code,Alpha-3 code,Numeric,Athlete,Records
110,3000 m,12:15.9,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Georgine Tomisato,735.9
111,5000 m,21:07.8,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Paula Stevenson,1267.8
112,10000 m,45:34.6,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Rose Siaosi,2734.6
113,Half marathon,1:47:39,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Faye Ondelacy,6459.0
114,Marathon,3:57:15,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Faye Ondelacy,14235.0
115,100 m hurdles,15.83,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Jordan Mageo,15.83
116,400 m hurdles,01:07.9,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Jordan Mageo,67.9
117,High jump,1.35,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Jordan Mageo,1.35
118,Long jump,4.5,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Lila Waetin,4.5
119,Triple jump,8.72,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Ira Ripine,8.72
120,Shot put,16.67,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Lisa Misipeka,16.67
121,Discus throw,55.99,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Alexandra Morgan,55.99
122,Hammer throw,69.24,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Lisa Misipeka,69.24
123,Javelin throw,34.2,American Samoa,Oceania,https://en.wikipedia.org/wiki/List_of_American_Samoan_records_in_athletics,AS,-14.270972,-170.132217,Female,AS,ASM,16.0,Claire Morgan,34.2
124,100 m,10.49,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Male,AO,AGO,24.0,Afonso Ferraz,10.49
125,200 m,21.15,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Male,AO,AGO,24.0,Afonso Ferraz,21.15
126,400 m,47.38,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Male,AO,AGO,24.0,João Paulo,47.38
127,800 m,01:47.5,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Male,AO,AGO,24.0,João N'Tyamba,107.5
128,1500 m,03:39.5,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Male,AO,AGO,24.0,João N'Tyamba,219.5
129,3000 m,07:58.5,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Male,AO,AGO,24.0,João N'Tyamba,478.5
130,5000 m,13:40.1,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Male,AO,AGO,24.0,Aurélio Miti,820.1
131,10000 m,28:31.1,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Male,AO,AGO,24.0,João N'Tyamba,1711.1
132,Half marathon,1:02:38,Angola,Africa,https://en.wikipedia.org/wiki/List_of_Angolan_records_in_athletics,AO,-11.202692,17.873887,Male,AO,AGO,24.0,João N'Tyamba,3758.0
